first_name	surname	cristin_person_id	name	n
Olav Mandt	Vassend	21678	Olav Mandt Vassend	354
Ole Andre	Solbakken	11762	Ole Andre Solbakken	355
Ole Jacob	Madsen	45281	Ole Jacob Madsen	356
Ole Jørgen Aasvik	Johansson	865600	Ole Jørgen Aasvik Johansson	357
Ole Martin	Solberg	1590129	Ole Martin Solberg	358
Olena	Iakunchykova	1007315	Olena Iakunchykova	359
Olgerta	Asko	778254	Olgerta Asko	360
Olivia	Pich	1091394	Olivia Pich	361
Omid Vakili	Ebrahimi	1162259	Omid Vakili Ebrahimi	362
Paul	Moxnes	325101	Paul Moxnes	363
Peder Mortvedt	Isager	618557	Peder Mortvedt Isager	364
Per	Schioldborg	22483	Per Schioldborg	365
Perline	Demange	1620288	Perline Demange	366
Pernille	Gran	1539943	Pernille Gran	367
Pia	Aursand	1318591	Pia Aursand	368
Pierre Guillaume Raphael	Berthet	967710	Pierre Guillaume Raphael Berthet	369
Pål	Kraft	14454	Pål Kraft	370
Pål	Ulleberg	6415	Pål Ulleberg	371
Pål Gunnar	Ulvenes	3733	Pål Gunnar Ulvenes	372
Qi	Qin	1504427	Qi Qin	373
Qiyuan	Peng	1623194	Qiyuan Peng	374
Ragnhild	Bø	5327	Ragnhild Bø	375
Ragnhild Bang	Nes	15374	Ragnhild Bang Nes	376
Ragnhild Marie	Undseth	15727	Ragnhild Marie Undseth	377
Rahul Omprakash	Agrawal	1358152	Rahul Omprakash Agrawal	378
Ralph Pascual Ortiz	Porneso	1632562	Ralph Pascual Ortiz Porneso	379
Razieh	Chegeni	950139	Razieh Chegeni	380
Reidar	Ommundsen	23470	Reidar Ommundsen	381
Reidar Schei	Jessen	450876	Reidar Schei Jessen	382
Renathe Aspeli	Simonsen	1371469	Renathe Aspeli Simonsen	383
Rene	Westerhausen	45050	Rene Westerhausen	384
Rene Jürgen	Huster	684844	Rene Jürgen Huster	385
Richard Markussen	Rekdal	1021907	Richard Markussen Rekdal	386
Rikka	Kjelkenes	1108678	Rikka Kjelkenes	387
Roald Arild	Bjørklund	13854	Roald Arild Bjørklund	388
Roger	Hagen	39609	Roger Hagen	389
Rolf	Reber	47121	Rolf Reber	390
Rolv Mikkel	Blakar	23544	Rolv Mikkel Blakar	391
Rosa Catherine	Gillespie Cheesman	1261943	Rosa Catherine Gillespie Cheesman	392
Ruben Agustin Rodriguez	Cano	1292259	Ruben Agustin Rodriguez Cano	393
Rune Flaaten	Bjørk	525751	Rune Flaaten Bjørk	394
Sabine	Raeder	6153	Sabine Raeder	395
Sabriye Selin	Sahpazoglu Cakmak	1318718	Sabriye Selin Sahpazoglu Cakmak	396
Saira Jameela	Hübenette	1285029	Saira Jameela Hübenette	397
Samantha Marie	Harris	1092477	Samantha Marie Harris	398
Sandra	Solli	526713	Sandra Solli	399
Sara	Dahlén	1649412	Sara Dahlén	400
Sara	Fernandez Rodriguez Cabello	1606873	Sara Fernandez Rodriguez Cabello	401
Sara Wicksell	Torp	1623186	Sara Wicksell Torp	402
Sarjo	Kuyateh	1178427	Sarjo Kuyateh	403
Sascha	Frühholz	1208511	Sascha Frühholz	404
Sidsel Louise	Schaller	550876	Sidsel Louise Schaller	405
Sigrun Marie	Moss	143	Sigrun Marie Moss	406
Silje Endresen	Reme	45635	Silje Endresen Reme	407
Silje Kvam	Bårdstu	468140	Silje Kvam Bårdstu	408
Silje Støle	Brokke	502023	Silje Støle Brokke	409
Siri	Thoresen	13224	Siri Thoresen	410
Siri Erika	Gullestad	22941	Siri Erika Gullestad	411
Siri Graff	Leknes	6750	Siri Graff Leknes	412
Siri Gurandsrud	Karlsen	1504869	Siri Gurandsrud Karlsen	413
Siri Hausland	Folstad	1255039	Siri Hausland Folstad	414
Sofia Luna Myhre	Pellicer	1452659	Sofia Luna Myhre Pellicer	415
Solveig Lægreid	Hauger	538045	Solveig Lægreid Hauger	416
Solveig Melanie	Kirchhofer	1177391	Solveig Melanie Kirchhofer	417
Sophia Elisabeth Maria	Humps	1452673	Sophia Elisabeth Maria Humps	418
Sophie Seychelle	Havighurst	967718	Sophie Seychelle Havighurst	419
Stein	Andersson	9667	Stein Andersson	420
Stella	Tsotsi	1298154	Stella Tsotsi	421
Stephen	von Tetzchner	23226	Stephen von Tetzchner	422
Stine	Nygård	996639	Stine Nygård	423
Stine Kleppe	Krogsrud	404407	Stine Kleppe Krogsrud	424
Sut I	Wong	325128	Sut I Wong	425
Svein	Mossige	307957	Svein Mossige	426
Svein Jean	Magnussen	23808	Svein Jean Magnussen	427
Svenn Omar	Torgersen	22513	Svenn Omar Torgersen	428
Sverre Urnes	Johnson	474369	Sverre Urnes Johnson	429
Tale	Østensjø	893513	Tale Østensjø	430
Ted	Reichborn-Kjennerud	18044	Ted Reichborn-Kjennerud	431
Terrie	Moffitt	1514418	Terrie Moffitt	432
Thea	Wiker	1504817	Thea Wiker	433
Thomas	Espeseth	15234	Thomas Espeseth	434
Thomas	Hagen	520795	Thomas Hagen	435
Thomas	Hoff	15342	Thomas Hoff	436
Thomas	Wolfers	1160749	Thomas Wolfers	437
Thomas Wolfgang	Schubert	505386	Thomas Wolfgang Schubert	438
Tianfang	Yang	1671669	Tianfang Yang	439
Till	Schellhorn	17260	Till Schellhorn	440
Tilmann Martin	von Soest	12829	Tilmann Martin von Soest	441
Timothy John	Brennen	15237	Timothy John Brennen	442
Tine	Jensen	23722	Tine Jensen	443
Tone	Normann-Eide	534480	Tone Normann-Eide	444
Tone Kristine	Hermansen	383144	Tone Kristine Hermansen	445
Tonje	Kullerud	1521816	Tonje Kullerud	446
Tonje Kristin Haug	Nordenmark	19727	Tonje Kristin Haug Nordenmark	447
Tonje Marie Moe	Thompson	8590	Tonje Marie Moe Thompson	448
Tor	Endestad	22923	Tor Endestad	449
Tore	Helstrup	21741	Tore Helstrup	450
Torgeir	Moberget	16297	Torgeir Moberget	451
Tori	Mauseth	23433	Tori Mauseth	452
Torill	Ueland	7958	Torill Ueland	453
Tormod	Eide	24770	Tormod Eide	454
Torun Marie	Vatne	16770	Torun Marie Vatne	455
Trine Charlotte	Eikrem	884893	Trine Charlotte Eikrem	456
Trine Waage	Rygvold	18483	Trine Waage Rygvold	457
Trond	Myklebust	16192	Trond Myklebust	458
Trude	Skoglund	1327414	Trude Skoglund	459
Unni	Johns	404358	Unni Johns	460
Valerie	Karl	1371410	Valerie Karl	461
Valerie Christine	Karl	1504434	Valerie Christine Karl	462
Vegard	Landsverk	1141884	Vegard Landsverk	463
Vegard	Volehaugen	761941	Vegard Volehaugen	464
